rcept_no,부,부제목,절번호,절제목,본문시작행,찾음
20260911000093,2,제2부 집합투자기구에 관한 사항,9,"집합투자기구의 투자전략, 위험관리 및 수익구조",1114,O
20260911000093,2,제2부 집합투자기구에 관한 사항,10,집합투자기구의 투자위험,1273,O
20260911000093,2,제2부 집합투자기구에 관한 사항,11,"매입, 환매 및 전환 기준",1682,O
20260911000093,2,제2부 집합투자기구에 관한 사항,12,기준가격 산정기준 및 집합투자재산의 평가,1842,O
20260911000093,2,제2부 집합투자기구에 관한 사항,13,보수 및 수수료에 관한 사항,1949,O
20260911000093,2,제2부 집합투자기구에 관한 사항,14,이익배분 및 과세에 관한 사항,2246,O
20260911000093,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,1,재무정보,2417,O
20260911000093,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,2,연도별 설정 및 환매현황,2493,O
20260911000093,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,3,집합투자기구의 운용실적,2576,O
20260911000093,4,제4부 집합투자기구 관련회사에 관한 사항,1,집합투자업자에 관한 사항,2682,O
20260911000093,4,제4부 집합투자기구 관련회사에 관한 사항,2,운용관련 업무 수탁회사 등에 관한 사항,2762,O
20260911000093,4,제4부 집합투자기구 관련회사에 관한 사항,3,기타 집합투자기구 관련회사에 관한 사항,2772,O
20260911000093,5,제5부 기타 투자자보호를 위해 필요한 사항,1,투자자의 권리에 관한 사항,2869,O
20260911000093,5,제5부 기타 투자자보호를 위해 필요한 사항,2,집합투자기구의 해지에 관한 사항,2994,O
20260911000093,5,제5부 기타 투자자보호를 위해 필요한 사항,3,집합투자기구의 공시에 관한 사항,3016,O
20260911000093,5,제5부 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,3178,O
20260911000093,5,제5부 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,3199,O
20260911000093,5,제5부 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,3212,O
20260911000180,1,제1부 모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,508,O
20260911000180,1,제1부 모집 또는 매출에 관한 사항,2,집합투자기구의 종류 및 형태,528,O
20260911000180,1,제1부 모집 또는 매출에 관한 사항,3,모집예정금액,543,O
20260911000180,1,제1부 모집 또는 매출에 관한 사항,4,모집의 내용 및 절차,550,O
20260911000180,1,제1부 모집 또는 매출에 관한 사항,5,인수에 관한 사항,558,O
20260911000180,1,제1부 모집 또는 매출에 관한 사항,6,상장 및 매매에 관한 사항,561,O
20260911000180,2,제2부 집합투자기구에 관한 사항,1,집합투자기구의 명칭,570,O
20260911000180,2,제2부 집합투자기구에 관한 사항,2,집합투자기구의 연혁,607,O
20260911000180,2,제2부 집합투자기구에 관한 사항,3,집합투자기구의 신탁계약기간,650,O
20260911000180,2,제2부 집합투자기구에 관한 사항,4,집합투자업자,656,O
20260911000180,2,제2부 집합투자기구에 관한 사항,5,운용전문인력에 관한 사항,668,O
20260911000180,2,제2부 집합투자기구에 관한 사항,6,집합투자기구의 구조,829,O
20260911000180,2,제2부 집합투자기구에 관한 사항,7,집합투자기구의 투자목적,1003,O
20260911000180,2,제2부 집합투자기구에 관한 사항,8,집합투자기구의 투자대상,1009,O
20260911000180,2,제2부 집합투자기구에 관한 사항,9,"집합투자기구의 투자전략, 위험관리 및 수익구조",1264,O
20260911000180,2,제2부 집합투자기구에 관한 사항,10,집합투자기구의 투자위험,1310,O
20260911000180,2,제2부 집합투자기구에 관한 사항,11,"매입, 환매 및 전환 기준",1475,O
20260911000180,2,제2부 집합투자기구에 관한 사항,12,기준가격 산정기준 및 집합투자재산의 평가,1643,O
20260911000180,2,제2부 집합투자기구에 관한 사항,13,보수 및 수수료에 관한 사항,1735,O
20260911000180,2,제2부 집합투자기구에 관한 사항,14,이익배분 및 과세에 관한 사항,2029,O
20260911000180,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,1,재무정보,2196,O
20260911000180,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,2,연도별 설정 및 환매현황,2272,O
20260911000180,3,제3부 집합투자기구의 재무 및 운용실적 등에 관한 사항,3,집합투자기구의 운용실적,2399,O
20260911000180,4,제4부 집합투자기구 관련회사에 관한 사항,1,집합투자업자에 관한 사항,2538,O
20260911000180,4,제4부 집합투자기구 관련회사에 관한 사항,2,운용관련 업무 수탁회사 등에 관한 사항,2618,O
20260911000180,4,제4부 집합투자기구 관련회사에 관한 사항,3,기타 집합투자기구 관련회사에 관한 사항,2628,O
20260911000180,5,제5부 기타 투자자보호를 위해 필요한 사항,1,투자자의 권리에 관한 사항,2725,O
20260911000180,5,제5부 기타 투자자보호를 위해 필요한 사항,2,집합투자기구의 해지에 관한 사항,2850,O
20260911000180,5,제5부 기타 투자자보호를 위해 필요한 사항,3,집합투자기구의 공시에 관한 사항,2868,O
